Sentence #,Word,POS,Tag
,Lhasa,NNP,B-geo
,block,NN,O
,and,CC,O
,Lhasa,NNP,B-geo
,-,HYPH,O
,Qiangtang,NNP,O
,.,.,O
Sentence: 9,Early,RB,B-tim
,Cretaceous,JJ,I-tim
,strata,NN,O
,are,VBP,O
,widely,RB,O
,exposed,VBN,O
,in,IN,O
,the,DT,O
,northern,JJ,O
,Lhasa,NNP,B-geo
,terrane,NN,O
,",",",",O
,thus,RB,O
,providing,VBG,O
,crucial,JJ,B-nat
,information,NN,I-nat
,to,IN,O
,constrain,VB,O
,the,DT,O
,age,NN,O
,of,IN,O
,the,DT,O
,Lhasa,NNP,B-geo
,-,HYPH,I-geo
,Qiangtang,NNP,B-geo
,collision,NN,O
,onset,NN,O
,and,CC,O
,of,IN,O
,initial,JJ,O
,uplift,NN,O
,of,IN,O
,the,DT,O
,central,JJ,O
,Tibetan,JJ,O
,Plateau.In,NN,O
,this,DT,O
,study,NN,O
,we,PRP,O
,have,VBP,O
,measured,VBN,O
,six,CD,O
,stratigraphic,JJ,B-nat
,sections,NNS,B-nat
,along,IN,O
,a,DT,O
,north,RB,O
,-,HYPH,B-geo
,south,RB,O
,traverse,VB,O
,across,IN,O
,the,DT,O
,Baingoin,NNP,O
,basin,NN,O
,in,IN,O
,the,DT,O
,northern,JJ,O
,Lhasa,NNP,B-geo
,terrane,NN,O
,.,.,O
Sentence: 10,New,NNP,O
,data,NNS,O
,were,VBD,O
,collected,VBN,O
,from,IN,O
,Lower,JJR,B-tim
,Cretaceous,JJ,I-tim
,strata,NN,O
,on,IN,O
,sedimentary,JJ,B-nat
,facies,NNS,I-nat
,",",",",O
,sandstone,NN,B-nat
,petrology,NN,I-nat
,",",",",O
,paleocurrent,JJ,O
,directions,NNS,O
,",",",",O
,detrital,JJ,B-nat
,Cr,NN,O
,-,HYPH,O
,spinel,NN,O
,chemistry,NN,O
,",",",",O
,detrital,JJ,B-nat
,zircon,NN,I-nat
,U-Pb,NN,O
,ages,NNS,O
,and,CC,O
,Hf,NN,O
,isotopes,NNS,O
,in,IN,O
,order,NN,O
,to,TO,O
,determine,VB,O
,provenance,NN,O
,of,IN,O
,detritus,NN,O
,",",",",O
,evolution,NN,O
,of,IN,O
,the,DT,O
,Baingoin,NNP,O
,basin,NN,O
,",",",",O
,and,CC,O
,timing,NN,O
,of,IN,O
,the,DT,O
,initial,JJ,O
,collision,NN,O
,between,IN,O
,the,DT,O
,Lhasa,NNP,B-geo
,and,CC,O
,Qiangtang,NNP,B-geo
,blocks.The,NNP,O
,Lhasa,NNP,B-geo
,block,NN,O
,(,-LRB-,O
,Fig,NN,O
,.,.,O
Sentence: 11,The,DT,O
,southern,JJ,O
,Lhasa,NNP,B-geo
,terrane,NN,O
,includes,VBZ,O
,the,DT,O
,Upper,NNP,B-tim
,Triassic,NNP,I-tim
,to,IN,O
,Cenozoic,NNP,B-tim
,Gangdese,NNP,I-tim
,granitoid,NN,O
,arc,NN,O
,batholith,NN,O
,",",",",O
,the,DT,O
,mostly,RB,O
,Paleogene,NNP,B-tim
,Linzizong,NNP,I-tim
,volcanic,JJ,B-nat
,succession,NN,I-nat
,(,-LRB-,O
,Chu,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2006,CD,O
,;,:,O
,Ji,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2009,CD,O
,;,:,O
,Zhu,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2011b,NN,O
,;,:,O
,Dong,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2014,CD,O
,),-RRB-,O
,",",",",O
,and,CC,O
,the,DT,O
,Cretaceous,JJ,B-tim
,Xigaze,NNP,I-tim
,forearc,NN,O
,basin,NN,O
,(,-LRB-,O
,D邦rr,NNP,O
,",",",",O
,1996,CD,O
,;,:,O
,Ding,NNP,O
,and,CC,O
,Lai,NNP,O
,",",",",O
,2003,CD,O
,;,:,O
,Wang,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2012,CD,O
,;,:,O
,An,DT,O
,et,FW,O
,al.,FW,O
,",",",",O
,2014,CD,O
,;,:,O
,Wang,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2017a,NN,O
,),-RRB-,O
,The,DT,O
,central,JJ,O
,Lhasa,NNP,B-geo
,terrane,NN,O
,includes,VBZ,O
,a,DT,O
,Precambrian,JJ,B-tim
,crystalline,NN,B-nat
,basement,NN,I-nat
,(,-LRB-,O
,Dewey,NNP,O
,and,CC,O
,Burke,NNP,O
,",",",",O
,1973,CD,O
,;,:,O
,All豕gre,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,1984,CD,O
,),-RRB-,O
,",",",",O
,very,RB,O
,-,HYPH,O
,low,JJ,O
,-,HYPH,O
,grade,NN,O
,Carboniferous,NNP,B-tim
,metasediments,NNS,O
,",",",",O
,Permian,NNP,B-tim
,limestones,NNS,O
,",",",",O
,and,CC,O
,Jurassic,JJ,B-tim
,siliciclastic,JJ,B-nat
,rocks,NNS,I-nat
,(,-LRB-,O
,Leeder,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,1988,CD,O
,;,:,O
,Yin,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,1988,CD,O
,),-RRB-,O
,.,.,O
Sentence: 12,The,DT,O
,central,JJ,O
,Lhasa,NNP,B-geo
,terrane,NN,O
,includes,VBZ,O
,a,DT,O
,Precambrian,JJ,B-tim
,crystalline,NN,B-nat
,basement,NN,I-nat
,(,-LRB-,O
,Dewey,NNP,O
,and,CC,O
,Burke,NNP,O
,",",",",O
,1973,CD,O
,;,:,O
,All豕gre,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,1984,CD,O
,),-RRB-,O
,",",",",O
,very,RB,O
,-,HYPH,O
,low,JJ,O
,-,HYPH,O
,grade,NN,O
,Carboniferous,NNP,B-tim
,metasediments,NNS,O
,",",",",O
,Permian,NNP,B-tim
,limestones,NNS,O
,",",",",O
,and,CC,O
,Jurassic,JJ,B-tim
,siliciclastic,JJ,B-nat
,rocks,NNS,I-nat
,(,-LRB-,O
,Leeder,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,1988,CD,O
,;,:,O
,Yin,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,1988,CD,O
,),-RRB-,O
,Younger,JJR,O
,rocks,NNS,B-nat
,include,VBP,O
,the,DT,O
,widespread,JJ,O
,Cretaceous,JJ,B-tim
,Zenong,NNP,I-tim
,volcanics,NNS,O
,(,-LRB-,O
,Zhu,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2009a,NN,O
,),-RRB-,O
,",",",",O
,the,DT,O
,Late,JJ,B-tim
,Cretaceous,JJ,I-tim
,non-marine,JJ,O
,Daxiong,NNP,B-nat
,Formation,NN,I-nat
,",",",",O
,and,CC,O
,Cenozoic,JJ,B-tim
,continental,JJ,O
,strata,NN,O
,(,-LRB-,O
,XZBGM,NNP,O
,",",",",O
,1993,CD,O
,;,:,O
,G,NN,O
,.,.,O
Sentence: 13,Younger,JJR,O
,rocks,NNS,O
,include,VBP,O
,the,DT,O
,widespread,JJ,O
,Cretaceous,JJ,B-tim
,Zenong,NNP,I-tim
,volcanics,NNS,O
,(,-LRB-,O
,Zhu,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2009a,NN,O
,),-RRB-,O
,",",",",O
,the,DT,O
,Late,JJ,B-tim
,Cretaceous,JJ,I-tim
,non-marine,JJ,O
,Daxiong,NNP,B-nat
,Formation,NN,I-nat
,",",",",O
,and,CC,O
,Cenozoic,JJ,B-tim
,continental,JJ,O
,strata,NN,O
,(,-LRB-,O
,XZBGM,NNP,O
,",",",",O
,1993,CD,O
,;,:,O
,GSun,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2015,CD,O
,),-RRB-,O
,.,.,O
Sentence: 14,The,DT,O
,northern,JJ,O
,Lhasa,NNP,B-geo
,terrane,NN,O
,includes,VBZ,O
,thick,JJ,O
,Late,JJ,B-tim
,Jurassic,JJ,I-tim
,metasediments,NNS,O
,(,-LRB-,O
,XZBGM,NNP,O
,",",",",O
,1993,CD,O
,),-RRB-,O
,",",",",O
,Early,JJ,B-tim
,Cretaceous,JJ,I-tim
,marginal,JJ,O
,-,HYPH,O
,marine,JJ,O
,and,CC,O
,deltatic,JJ,B-nat
,clastics,NNS,I-nat
,(,-LRB-,O
,Zhang,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2004,CD,O
,;,:,O
,Leier,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2007a,NN,O
,;,:,O
,Leier,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2007b,NN,O
,;,:,O
,Volkmer,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2007,CD,O
,;,:,O
,Zhang,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2011,CD,O
,),-RRB-,O
,",",",",O
,Aptian,NNP,O
,-,HYPH,O
,Cenomanian,NNP,O
,limestones,NNS,O
,of,IN,O
,the,DT,O
,Langshan,NNP,B-nat
,Formation,NN,I-nat
,(,-LRB-,O
,Leier,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2007b,NN,O
,;,:,O
,Scott,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2010,CD,O
,;,:,O
,Rao,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2015,CD,O
,;,:,O
,BouDagher,NNP,O
,-,HYPH,O
,Fadel,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2017,CD,O
,),-RRB-,O
,",",",",O
,and,CC,O
,Late,JJ,B-tim
,Cretaceous,JJ,I-tim
,to,IN,O
,Cenozoic,JJ,B-tim
,continental,JJ,B-nat
,sandstone,NN,I-nat
,and,CC,O
,conglomerate,NN,O
,(,-LRB-,O
,DeCelles,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2007,CD,O
,;,:,O
,Kapp,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2007,CD,O
,;,:,O
,Zhang,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2011,CD,O
,),-RRB-,O
,Mid,NNP,O
,-,HYPH,O
,to,IN,O
,Late,JJ,B-tim
,Cretaceous,JJ,I-tim
,plutonic,JJ,B-nat
,rocks,NNS,I-nat
,and,CC,O
,volcanic,JJ,B-nat
,rocks,NNS,I-nat
,of,IN,O
,the,DT,O
,Qushenla,NNP,B-nat
,Formation,NN,I-nat
,also,RB,O
,occur,VBP,O
,(,-LRB-,O
,Zhu,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2011b,NN,O
,;,:,O
,G.Y,NN,O
,.,.,O
Sentence: 15,Mid,NNP,O
,-,HYPH,O
,to,IN,O
,Late,JJ,B-tim
,Cretaceous,JJ,I-tim
,plutonic,JJ,B-nat
,rocks,NNS,I-nat
,and,CC,O
,volcanic,JJ,B-nat
,rocks,NNS,I-nat
,of,IN,O
,the,DT,O
,Qushenla,NNP,B-nat
,Formation,NN,I-nat
,also,RB,O
,occur,VBP,O
,(,-LRB-,O
,Zhu,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2011b,NN,O
,;,:,O
,G.YSun,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2015,CD,O
,),-RRB-,O
,.,.,O
,.,.,O
Sentence: 16,The,DT,O
,Bangong,NNP,O
,-,HYPH,O
,Nujiang,NNP,O
,suture,NN,O
,zone,NN,O
,(,-LRB-,O
,BNSZ,NN,O
,),-RRB-,O
,",",",",O
,separating,VBG,O
,the,DT,O
,Lhasa,NNP,B-geo
,and,CC,O
,Qiangtang,NNP,B-geo
,blocks,NNS,O
,",",",",O
,includes,VBZ,O
,Jurassic,JJ,B-tim
,deep,JJ,O
,-,HYPH,O
,sea,NN,O
,turbidites,NNS,B-nat
,(,-LRB-,O
,Girardeau,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,1984,CD,O
,;,:,O
,Dewey,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,1988,CD,O
,;,:,O
,Li,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2017a,NN,O
,),-RRB-,O
,",",",",O
,olistostrome,NN,O
,(,-LRB-,O
,YZeng,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2016,CD,O
,;,:,O
,M,NN,O
,.,.,O
Sentence: 17,An,DT,O
,angular,JJ,B-nat
,unconformity,NN,I-nat
,separates,VBZ,B-nat
,ophiolites,NNS,I-nat
,and,CC,O
,the,DT,O
,m谷lange,NN,O
,from,IN,O
,the,DT,O
,overlying,VBG,O
,Late,JJ,B-tim
,Jurassic,JJ,O
,-,HYPH,O
,Early,JJ,O
,Cretaceous,JJ,B-tim
,shallow,JJ,O
,-,HYPH,O
,marine,JJ,O
,clastic,JJ,B-nat
,rocks,NNS,I-nat
,(,-LRB-,O
,Li,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2017a,NN,O
,),-RRB-,O
,Mid-Cretaceous,JJ,B-tim
,OIB,NN,O
,-,HYPH,O
,type,NN,O
,basalts,NNS,O
,were,VBD,O
,interpreted,VBN,O
,as,IN,O
,seamounts,NNS,O
,(,-LRB-,O
,Zhu,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2006,CD,O
,;,:,O
,Fan,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2014,CD,O
,),-RRB-,O
,or,CC,O
,intraplate,JJ,O
,volcanism,NN,O
,.,.,O
Sentence: 18,Mid-Cretaceous,JJ,B-tim
,OIB,NN,O
,-,HYPH,O
,type,NN,O
,basalts,NNS,O
,were,VBD,O
,interpreted,VBN,O
,as,IN,O
,seamounts,NNS,O
,(,-LRB-,O
,Zhu,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2006,CD,O
,;,:,O
,Fan,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2014,CD,O
,),-RRB-,O
,or,CC,O
,intraplate,JJ,O
,volcanismLate,NN,O
,Cretaceous,JJ,B-tim
,to,IN,O
,Cenozoic,JJ,B-tim
,fluvial,NN,O
,or,CC,O
,lacustrine,NN,O
,sequences,NNS,O
,with,IN,O
,interbedded,VBN,O
,volcanic,JJ,B-nat
,rocks,NNS,I-nat
,characterize,VBP,B-nat
,the,DT,O
,northern,JJ,O
,Nima,NNP,B-geo
,and,CC,O
,Lunpola,NNP,B-geo
,basins,NNS,O
,(,-LRB-,O
,XZBGM,NNP,O
,",",",",O
,1993,CD,O
,;,:,O
,Kapp,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2005,CD,O
,;,:,O
,DeCelles,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2007,CD,O
,;,:,O
,Kapp,NNP,O
,et,FW,O
,al.,FW,O
,",",",",O
,2007,CD,O
,),-RRB-,O
,.,.,O
,.,.,O
Sentence: 19,Late,RB,B-tim
,Cretaceous,JJ,I-tim
,to,IN,O
,Cenozoic,JJ,B-tim
,fluvial,NN,O
,or,CC,O
,lacustrine,NN,O
,sequences,NNS,O
,with,IN,O
,interbedded,VBN,O
,volcanic,JJ,B-nat
,rocks,NNS,I-nat
